model_type,hidden_dim,num_layers,architecture,dropout,learning_rate,train_loss,val_loss,test_rmse
lstm,256,2,"[1024, 512, 128]",0.2,0.0001,0.6211,4.8284,1.6622
lstm,256,2,"[256, 64]",0.1,0.001,0.4377,5.393,1.6599
lstm,256,2,"[256, 64]",0.1,0.0001,0.6974,5.0687,1.8425
lstm,256,2,"[256, 64]",0.2,0.001,1.0939,5.7916,1.8458
lstm,256,2,"[256, 64]",0.2,0.0001,0.6667,5.2003,1.6885
bilstm,64,1,"[512, 128]",0.1,0.001,0.5363,5.1951,1.6587
bilstm,64,1,"[512, 128]",0.1,0.0001,0.6185,4.684,1.6547
bilstm,64,1,"[512, 128]",0.2,0.001,0.593,5.1565,1.8068
bilstm,64,1,"[512, 128]",0.2,0.0001,0.7406,4.6896,1.6269
bilstm,64,1,"[1024, 512, 128]",0.1,0.001,0.5343,5.0319,1.6991
bilstm,64,1,"[1024, 512, 128]",0.1,0.0001,0.5975,5.2466,1.8532
bilstm,64,1,"[1024, 512, 128]",0.2,0.001,0.7961,4.7432,1.5467
bilstm,64,1,"[1024, 512, 128]",0.2,0.0001,0.6578,4.6585,1.7579
bilstm,64,1,"[256, 64]",0.1,0.001,0.6297,5.6055,1.9034
bilstm,64,1,"[256, 64]",0.1,0.0001,0.8209,4.8566,1.6839
bilstm,64,1,"[256, 64]",0.2,0.001,0.6769,5.3601,1.7817
bilstm,64,1,"[256, 64]",0.2,0.0001,0.9593,4.6033,1.5945
bilstm,64,2,"[512, 128]",0.1,0.001,0.4386,5.0617,1.6422
bilstm,64,2,"[512, 128]",0.1,0.0001,0.6054,5.108,1.7824
bilstm,64,2,"[512, 128]",0.2,0.001,0.5591,5.2515,1.648
bilstm,64,2,"[512, 128]",0.2,0.0001,0.6633,4.8406,1.7536
bilstm,64,2,"[1024, 512, 128]",0.1,0.001,0.576,5.4385,1.5977
bilstm,64,2,"[1024, 512, 128]",0.1,0.0001,0.5643,4.6704,1.7101
bilstm,64,2,"[1024, 512, 128]",0.2,0.001,0.5895,5.5435,1.7149
bilstm,64,2,"[1024, 512, 128]",0.2,0.0001,0.5535,4.9513,1.7733
